,Department,Object Name,Title,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Classification,Link Resource,Artist_Surname,Artist_First_Name
9453,American Paintings and Sculpture,Painting,"Design for the Washington Centennial Celebration, Souvenir",1848      ,1936      ,1889,1889,Oil on canvas board,Paintings,http://www.metmuseum.org/art/collection/search/10184,Blashfield, Edwin Howland
9454,American Paintings and Sculpture,Painting,Luigi Palma di Cesnola,1817      ,1877      ,1865,1865,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10185,Blondel, Jacob D.
9455,American Paintings and Sculpture,Painting,The Ameya,1857      ,1903      ,1892,1893,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10186,Blum, Robert Frederick
9459,American Paintings and Sculpture,Painting,"View from the Artist's Window, Grove Street",1857      ,1903      ,1897,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10190,Blum, Robert Frederick
9460,American Paintings and Sculpture,Painting,Corn Husking,1815      ,1865      ,1860,1864,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10191,Blythe, David Gilmour
9463,American Paintings and Sculpture,Painting,"Seventh Regiment on Review, Washington Square, New York",1816      ,1865      ,1851,1851,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10194,Boetticher, Otto
9464,American Paintings and Sculpture,Painting,"Chale, Isle of Wight, Looking Towards the Needles",1864      ,1944      ,1900,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10195,Bogert, George H.
9465,American Paintings and Sculpture,Painting,September Evening,1864      ,1944      ,1898,1898,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10196,Bogert, George H.
9467,American Paintings and Sculpture,Painting,On the Thames,1855      ,1926      ,1883,1883,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10198,Boggs, Frank Myers
9474,American Paintings and Sculpture,Painting,An Arctic Summer: Boring Through the Pack in Melville Bay,1823      ,1892      ,1871,1871,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10207,Bradford, William
9475,American Paintings and Sculpture,Painting,Shipwreck off Nantucket (Wreck off Nantucket after a Storm),1823      ,1892      ,1860,1861,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10209,Bradford, William
9476,American Paintings and Sculpture,Painting,Emma Homan,1790      ,1890      ,1841,1844,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10210,Bradley, John
9479,American Paintings and Sculpture,Painting,Marine Landscape,1837      ,1908      ,1892,1895,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10215,Bricher, Alfred Thompson
9486,American Paintings and Sculpture,Painting,"View at Amalfi, Bay of Salerno",1814      ,1889      ,1857,1857,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10235,Brown, George Loring
9489,American Paintings and Sculpture,Painting,Meditation,1831      ,1913      ,1897,1910,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10239,Brown, John George
9490,American Paintings and Sculpture,Painting,The Music Lesson,1831      ,1913      ,1870,1870,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10240,Brown, John George
9491,American Paintings and Sculpture,Painting,To Decide the Question,1831      ,1913      ,1897,1897,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10241,Brown, John George
9496,American Paintings and Sculpture,Painting,Lady with a Dog,1761      ,1831      ,1786,1786,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10246,Brown, Mather
9497,American Paintings and Sculpture,Painting,Portrait of a Young Woman,1761      ,1831      ,1801,1801,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10247,Brown, Mather
