,Artist_Surname,Artist_First_Name
307533,Batoni,Pompeo
307537,Bazille,Jean-Frédéric
307538,Beaumont,Charles-Édouard de
307539,Beechey,William
307542,Beerstraten,Johannes Abrahamsz
307544,Beham,Barthel
307549,Bellini,Giovanni
307554,Bellini,Jacopo
307555,Bellotto,Bernardo
307557,Benczúr,Gyula
307558,Benjamin-Constant (Jean-Joseph-Benjamin Constant),Unknown
307559,Benoist,Marie Guillelmine
307560,Benson,Ambrosius
307561,Béraud,Jean
307563,Berchem,Nicolaes
307564,Bergognone (Ambrogio di Stefano da Fossano),Unknown
307566,Berlinghiero,Unknown
307567,Bernardino da Genoa,Unknown
307571,Beyeren,Abraham van
307572,Biagio d'Antonio,Unknown
307577,Bisschop,Cornelis
307578,Blake,William
307579,Blanchard,Jacques
307580,Blarenberghe,Henri Joseph van
307581,Bles,Herri met de
307582,Bloemaert,Abraham
307583,Boccaccino,Boccaccio
307584,Böcklin,Arnold
307588,Boilly,Louis Léopold
307590,Bol,Ferdinand
307592,Boldini,Giovanni
307602,Bonheur,Auguste-François
307603,Bonheur,Rosa
307606,Bonifacio de' Pitati (Bonifacio Veronese),Unknown
307608,Bonington,Richard Parkes
307609,Bonnat,Léon
307612,Bor,Paulus
307613,Borch,Gerard ter
307621,Bordon,Paris
307622,Borssom,Anthonie van
307623,Bosch,Hieronymus
307626,Bottani,Giuseppe
307627,Botticelli (Alessandro di Mariano Filipepi),Unknown
307629,Botticelli,Unknown
307631,Botticini,Francesco (Francesco di Giovanni)
307647,Boudin,Eugène
307650,Bouguereau,William
307653,Bourdon,Sébastien
307657,Bouts,Aelbert
307660,Bouts,Dieric
307662,Traut,Hans
307666,Bramantino (Bartolomeo Suardi),Unknown
307667,Bramer,Leonaert
307668,Breenbergh,Bartholomeus
307669,Brekelenkam,Quirijn van
307671,Breton,Jules
307673,Brett,John
307674,Breu,Jörg
307691,Bronzino (Agnolo di Cosimo di Mariano),Unknown
307692,Bronzino,Unknown
307693,Brosamer,Hans
307694,Brouwer,Adriaen
307698,Bruegel,Pieter
307699,Brueghel,Jan
307702,Brugghen,Hendrick ter
307703,Bruyn,Barthel
307707,Budapest Master,Unknown
307708,Bugiardini,Giuliano di Piero di Simone
307710,Burne-Jones,Edward
307712,Cabanel,Alexandre
307716,Cairo,Francesco
307718,Campi,Bernardino
307719,Campin,Robert
307721,Canaletto (Giovanni Antonio Canal),Unknown
307724,Cappelle,Jan van de
307726,Caravaggio (Michelangelo Merisi),Unknown
307729,Carlos,Frei
307730,Carnevale,Fra (Bartolomeo di Giovanni Corradini)
307731,Carolus-Duran,Charles-Auguste-Émile Durant
307732,Carpaccio,Vittore
307733,Carracci,Annibale
307736,Carrière,Eugène
307738,Aligny,Théodore Caruelle d'
307739,Casanova,Francesco
307740,Catena (Vincenzo di Biagio),Unknown
307742,Cavallino,Bernardo
307743,Cazin,Jean-Charles
307744,Cenni di Francesco di Ser Cenni,Unknown
